product_id,category,subcategory,product_name,cost_price,list_price,supplier,launch_date
P0001,Electronics,Smartphones,Smartphones Product 1,7246.85,9320.57,Delta Wholesale,2025-07-04
P0002,Electronics,Smartphones,Smartphones Product 2,6712.01,10581.05,Fusion Retail Supply,2022-03-03
P0003,Electronics,Smartphones,Smartphones Product 3,13629.54,19113.9,Fusion Retail Supply,2026-01-30
P0004,Electronics,Smartphones,Smartphones Product 4,12378.75,18623.09,BluePeak Traders,2022-03-04
P0005,Electronics,Smartphones,Smartphones Product 5,3122.4,5285.81,Fusion Retail Supply,2022-12-27
P0006,Electronics,Smartphones,Smartphones Product 6,15362.37,20477.18,Galaxy Imports,2023-01-09
P0007,Electronics,Laptops,Laptops Product 1,8357.06,11738.48,Fusion Retail Supply,2022-10-15
P0008,Electronics,Laptops,Laptops Product 2,14897.26,22770.33,Delta Wholesale,2023-01-16
P0009,Electronics,Laptops,Laptops Product 3,11455.01,14385.96,Evergreen Distributors,2024-12-26
P0010,Electronics,Laptops,Laptops Product 4,14236.89,23537.51,Delta Wholesale,2023-04-01
P0011,Electronics,Laptops,Laptops Product 5,9885.74,16745.11,BluePeak Traders,2025-03-18
P0012,Electronics,Laptops,Laptops Product 6,6202.53,7900.29,Fusion Retail Supply,2022-06-13
P0013,Electronics,Audio,Audio Product 1,3456.44,5578.88,Horizon Partners,2026-01-19
P0014,Electronics,Audio,Audio Product 2,3300.83,5673.02,Crestline,2024-03-07
P0015,Electronics,Audio,Audio Product 3,17439.07,22286.41,Delta Wholesale,2025-04-21
P0016,Electronics,Audio,Audio Product 4,15645.82,20444.3,Fusion Retail Supply,2024-12-20
P0017,Electronics,Audio,Audio Product 5,1947.71,3253.57,BluePeak Traders,2024-10-30
P0018,Electronics,Audio,Audio Product 6,10131.61,14214.6,Aster Supply,2024-01-20
P0019,Electronics,Accessories,Accessories Product 1,17135.11,25001.67,Galaxy Imports,2023-06-23
P0020,Electronics,Accessories,Accessories Product 2,17098.44,25621.16,Fusion Retail Supply,2022-02-02
P0021,Electronics,Accessories,Accessories Product 3,13637.06,22100.38,Evergreen Distributors,2023-08-12
P0022,Electronics,Accessories,Accessories Product 4,4128.82,5328.95,BluePeak Traders,2025-07-10
P0023,Electronics,Accessories,Accessories Product 5,15814.17,26718.11,BluePeak Traders,2025-03-27
P0024,Electronics,Accessories,Accessories Product 6,16682.58,20761.84,Horizon Partners,2024-09-12
P0025,Home & Kitchen,Cookware,Cookware Product 1,3066.89,3967.07,Fusion Retail Supply,2025-12-14
P0026,Home & Kitchen,Cookware,Cookware Product 2,10525.75,14035.1,BluePeak Traders,2022-03-19
P0027,Home & Kitchen,Cookware,Cookware Product 3,15113.5,19644.62,BluePeak Traders,2023-09-22
P0028,Home & Kitchen,Cookware,Cookware Product 4,5935.4,8538.64,Fusion Retail Supply,2023-11-01
P0029,Home & Kitchen,Cookware,Cookware Product 5,3737.07,4871.12,Fusion Retail Supply,2022-12-22
P0030,Home & Kitchen,Cookware,Cookware Product 6,11194.51,14578.01,Horizon Partners,2024-05-09
P0031,Home & Kitchen,Appliances,Appliances Product 1,13133.81,22614.52,Delta Wholesale,2022-07-19
P0032,Home & Kitchen,Appliances,Appliances Product 2,14402.61,20667.4,Aster Supply,2023-10-12
P0033,Home & Kitchen,Appliances,Appliances Product 3,407.09,624.41,BluePeak Traders,2022-11-03
P0034,Home & Kitchen,Appliances,Appliances Product 4,5188.6,8399.11,Aster Supply,2022-06-28
P0035,Home & Kitchen,Appliances,Appliances Product 5,14000.85,17936.14,BluePeak Traders,2024-02-24
P0036,Home & Kitchen,Appliances,Appliances Product 6,12565.89,18578.93,Aster Supply,2025-02-23
P0037,Home & Kitchen,Storage,Storage Product 1,10938.68,18113.36,Horizon Partners,2026-04-01
P0038,Home & Kitchen,Storage,Storage Product 2,240.27,332.96,Fusion Retail Supply,2023-04-27
P0039,Home & Kitchen,Storage,Storage Product 3,7311.22,12336.99,Galaxy Imports,2023-11-09
P0040,Home & Kitchen,Storage,Storage Product 4,7559.57,13037.7,Galaxy Imports,2026-05-02
P0041,Home & Kitchen,Storage,Storage Product 5,14286.25,20520.4,Evergreen Distributors,2024-06-24
P0042,Home & Kitchen,Storage,Storage Product 6,5459.87,6964.21,Fusion Retail Supply,2024-10-06
P0043,Home & Kitchen,Home Decor,Home Decor Product 1,9242.53,16085.68,Evergreen Distributors,2025-10-02
P0044,Home & Kitchen,Home Decor,Home Decor Product 2,9799.33,13459.73,Galaxy Imports,2025-04-19
P0045,Home & Kitchen,Home Decor,Home Decor Product 3,17365.89,28376.97,Evergreen Distributors,2023-10-12
P0046,Home & Kitchen,Home Decor,Home Decor Product 4,3298.62,4134.73,BluePeak Traders,2025-06-12
P0047,Home & Kitchen,Home Decor,Home Decor Product 5,17421.3,28624.56,Fusion Retail Supply,2024-05-26
P0048,Home & Kitchen,Home Decor,Home Decor Product 6,574.08,982.58,Aster Supply,2022-01-13
P0049,Fashion,Men,Men Product 1,886.6,1451.3,Delta Wholesale,2024-02-02
P0050,Fashion,Men,Men Product 2,10603.6,17821.39,Delta Wholesale,2022-05-29
P0051,Fashion,Men,Men Product 3,2464.57,4140.73,Fusion Retail Supply,2022-08-26
P0052,Fashion,Men,Men Product 4,15648.51,19082.86,Fusion Retail Supply,2022-01-12
P0053,Fashion,Men,Men Product 5,6197.94,7432.94,Galaxy Imports,2023-02-22
P0054,Fashion,Men,Men Product 6,10053.16,12906.5,Evergreen Distributors,2022-07-25
P0055,Fashion,Women,Women Product 1,5542.33,9228.75,Galaxy Imports,2024-12-10
P0056,Fashion,Women,Women Product 2,7018.56,10762.11,Horizon Partners,2026-01-07
P0057,Fashion,Women,Women Product 3,2696.01,4661.31,Delta Wholesale,2025-11-14
P0058,Fashion,Women,Women Product 4,7684.53,13004.95,Horizon Partners,2026-06-04
P0059,Fashion,Women,Women Product 5,12982.17,17484.66,Crestline,2024-04-26
P0060,Fashion,Women,Women Product 6,13474.57,16896.43,Crestline,2024-11-21
P0061,Fashion,Footwear,Footwear Product 1,16556.03,22253.13,Delta Wholesale,2022-05-23
P0062,Fashion,Footwear,Footwear Product 2,14520.28,18564.73,BluePeak Traders,2025-01-17
P0063,Fashion,Footwear,Footwear Product 3,13298.39,17135.53,Crestline,2022-05-09
P0064,Fashion,Footwear,Footwear Product 4,3699.24,4667.08,Aster Supply,2025-08-14
P0065,Fashion,Footwear,Footwear Product 5,11329.19,17398.45,Galaxy Imports,2022-05-01
P0066,Fashion,Footwear,Footwear Product 6,13320.74,22441.78,Delta Wholesale,2024-11-30
P0067,Fashion,Bags,Bags Product 1,7546.78,11011.03,Horizon Partners,2023-02-22
P0068,Fashion,Bags,Bags Product 2,6288.73,9329.54,Horizon Partners,2026-04-20
P0069,Fashion,Bags,Bags Product 3,7343.97,11621.94,Horizon Partners,2025-09-24
P0070,Fashion,Bags,Bags Product 4,3283.71,4212.93,Horizon Partners,2023-12-18
P0071,Fashion,Bags,Bags Product 5,8420.99,11186.39,Evergreen Distributors,2024-01-14
P0072,Fashion,Bags,Bags Product 6,8770.94,12244.04,Aster Supply,2025-03-15
P0073,Beauty,Skin Care,Skin Care Product 1,5938.76,9101.79,Horizon Partners,2024-11-12
P0074,Beauty,Skin Care,Skin Care Product 2,6957.54,10818.11,BluePeak Traders,2023-05-09
P0075,Beauty,Skin Care,Skin Care Product 3,7137.82,10657.79,Horizon Partners,2023-01-08
P0076,Beauty,Skin Care,Skin Care Product 4,17291.07,26764.67,BluePeak Traders,2022-12-26
P0077,Beauty,Skin Care,Skin Care Product 5,8294.14,10803.86,Delta Wholesale,2024-06-26
P0078,Beauty,Skin Care,Skin Care Product 6,16673.21,25903.1,Aster Supply,2023-01-17
P0079,Beauty,Hair Care,Hair Care Product 1,5945.71,7600.7,Delta Wholesale,2025-03-26
